code;progExp;Group;timeW1;timeS1;timeS2;timeS3;timeM1;timeW2;timeS4;timeS5;timeS6;timeM2;timeComplete;CorrectW1;CorrectS1;CorrectS2;CorrectS3;CorrectM1;CorrectW2;PointsS4;CorrectS4;CorrectS5;CorrectS6;CorrectM2
abhhe;72;A;143;196;561;226;883;160;138;292;237;2864;5700;1;0;0;1;0;1;8;0;1;0;0
ackne;48;A;230;243;295;240;1024;263;406;514;340;840;4395;1;1;0;1;0;1;8;0;0;1;0
aidhr;61;A;243;97;134;148;735;280;282;276;280;3104;5579;1;0;0;1;0;1;9;1;0;1;0
ATJEK;60;A;128;158;237;124;1268;100;145;361;95;1915;4531;1;1;1;1;0;0;9;1;1;0;0
btbir;45;A;163;172;402;182;857;140;283;285;255;787;3526;1;0;1;1;0;1;9;1;1;1;0
gonet;29;A;298;232;190;320;378;208;237;245;177;447;2732;0;0;0;1;0;0;9;1;0;0;0
irheg;35;A;465;182;398;469;450;NA;415;767;337;314;3720;1;1;0;0;0;0;9;1;1;1;0
aeqhe;62;B;246;605;682;187;583;75;321;252;59;2025;5035;1;1;0;1;0;0;9;1;1;0;0
arsrm;53;B;240;281;438;263;759;422;231;428;333;1779;5174;1;1;0;0;0;1;9;1;1;0;0
inxaa;11;B;460;274;791;154;855;302;217;420;242;1090;4805;1;0;0;1;0;1;9;1;1;1;0
LEBOC;62;B;175;343;285;172;1092;218;181;141;242;1611;4460;1;1;0;0;0;1;9;1;1;0;0
nhMan;41;B;370;509;1035;186;834;229;286;233;244;1620;5546;1;1;0;1;0;0;8;0;1;1;0
qazws;38;B;387;358;646;253;1631;142;310;220;200;1268;5415;1;1;1;0;0;1;9;1;0;0;0
slayer;41;B;307;393;461;189;1195;217;140;227;180;1774;5083;1;1;0;1;0;1;9;1;1;0;0
