timeS1;timeS2;timeS3;timeM1;timeS4;timeS5;timeS6;timeM2;Group
3.27;9.35;3.77;14.72;2.30;4.87;3.95;47.73;A
4.05;4.92;4.00;17.07;6.77;8.57;5.67;14.00;A
1.62;2.23;2.47;12.25;4.70;4.60;4.67;51.73;A
2.63;3.95;2.07;21.13;2.42;6.02;1.58;31.92;A
2.87;6.70;3.03;14.28;4.72;4.75;4.25;13.12;A
3.87;3.17;5.33;6.30;3.95;4.08;2.95;7.45;A
3.03;6.63;7.82;7.50;6.92;12.78;5.62;5.23;A
10.08;11.37;3.12;9.72;5.35;4.20;0.98;33.75;B
4.68;7.30;4.38;12.65;3.85;7.13;5.55;29.65;B
4.57;13.18;2.57;14.25;3.62;7.00;4.03;18.17;B
5.72;4.75;2.87;18.20;3.02;2.35;4.03;26.85;B
8.48;17.25;3.10;13.90;4.77;3.88;4.07;27.00;B
5.97;10.77;4.22;27.18;5.17;3.67;3.33;21.13;B
6.55;7.68;3.15;19.92;2.33;3.78;3.00;29.57;B
