code;deepComprehension;deepComprElaborate;comprehension;comprElaborate;implementation;implementationElabor;explain;explainElaborate;maintaining;maintainingElaborate;modifying;modifyingElaborate;quality;qualityElaborate;preference;preferenceElaborate;recommendation;recommendationElabor;further
15;1;"In having to do everything step by step, we are forced to look into the details of each component... instead of simply using ""whatever works""....";1;I believe that if we had used the big-bang implementation, chances are that we would not have separated all of the behaviors for each component, we maybe wouldnt even have made components... maybe just one big class called gamma that does everything. So YES, I do think that having done it step by step makes the entire program easier to understand.;1;The stepwise implementation allowed us to test every step of the way. With the big-bang implementation, it would have been much more difficult to test the correct behavior.;3;Well, to explain the big-bang, there would be higher complexity in the code, and perhaps it would not be as organized. However, with explaining the stepwise, we also have to explain the concept of components, and putting them together in boxes, which might add complexity to the explanation.;3;If both where done with primitive boxes, probably the same... but if the big-bang was done without boxes, more likely this would be more difficult.;2;Since in the stepwise approach we know with more detail about each component, I expect it to be easier to make modifications to gamma, because modifications to gamma might mean modifications to the underlying components.;2;It is tested at every step, instead than just at the end.  This provides a much more reliable implementation.;1;For all the reasons above.;1;More organized, and makes us realize how much of the code is actually reused.... which brings up a recurring concept of the class, that we want to find ways to not have to rewrite so much code, and be able to reuse it.;Just that I think it was better than the big-bang idea.
16;1;I don't think I would've understood the final design at all without the stepwise implementation;2;NA;2;NA;1;NA;2;NA;2;NA;3;NA;1;NA;1;NA;NA
17;1;It helped me better understand how easily components could be interchanged and the versatility of using a pipeline structure.;2;NA;2;Helpful that you can go from working version to working version as it gets more complicated;2;NA;3;NA;2;NA;2;NA;3;NA;1;NA;NA
18;1;I felt like there were two parts to completing the design. First was understanding the algorithm.  This was essential for producing the basic HJoin box.  The other part was understanding how the refinement was implementing the same algorithm even if it appeared much more complicated.  I felt that the incremental approach was essential to understanding both parts.;1;I think the stepwise implementation introduces you to the algorithms at the basic block level so that it is much clearer at the refinement level.;2;It might be easier to implement with a big-bang approach, but testing would be much more difficult.  Testing was a challenge for a couple of the blocks in our stepwise implementation, but once we began putting together our refinements, testing was extremely easy.;1;Just like in the class notes, start with the basic algorithm, then expand to each refinement.  Much easier.;1;Not only do we have all of our modular tests, we wrote the code and tests for each box.  It would be much easier to maintain.;2;It might be more challenging to know where to make changes in the stepwise approach, but the ability to make small changes with bigger effects makes it worth it.;2;I'm guessing better. I'm not sure.;1;Much easier to understand as you go. Also puts a lot of the heavy lifting at the beginning of the project rather than at the end.;1;For all the reasons above, yes stepwise is preferred and recommended.;This was a really good project to end the semester on.  Challenging and enjoyable.  
19;3;I don't think it changes anything as far as understanding goes. If you know what each box does, and the overall design, than changing the way you build it doesn't necessarily change your understanding of it.;2;The code should be somewhat the same, but the stepwise should be a little be easier, because everything will be in easy to understand sections where you incrementally built the program.;1;It's so much easier to implement. The big-bang makes it easy to make so many errors, because you can't test each section separately. Stepwise might take a bit longer, but saves you so much time debugging, andis jut a more natural way to build things. You won't get lost in your design trying to do too many things at once.;2;It's easier to explain how each things works individually and then builds on top of that, instead of trying to explain the whole thing at once.;1;Due to the way it was built it should be much easier to maintain. If something breaks or needs to be changed, it's already in sections, and we already have substantial tests. It's easy to add new things, since that's what we were doing the whole time.;1;Same as above. Easier to find things.;2;Well. If you don't get lost in Big-bang, it should be good quality, except you won't have the benefits of the tests, and a more defined layout.;1;It's just more natural, and much easier to think about.;3;Stepwise is just better, unless the program is really small.;N/A
21;2;NA;3;NA;4;NA;1;NA;3;NA;4;NA;3;NA;2;NA;1;NA;NA
22;1;By using a stepwise implementation I am able to understand all the different aspects that a complete algorithm is taking and get a better understanding as a whole. ;2;Looking at a implementation as little parts (smaller implementations) makes it easier to take in the bigger picture. Having less to process at a given time compared to just being shown a huge implementation as a whole makes it substantially easier to understand for me.;2;Smaller programs are usually easier to implement;2;Having already broken up a huge implementation into smaller steps makes explaining an implementation easier because the difficulty of breaking down an explanation is in reality already done for you.;2;A stepwise implementation should be easier to maintain;2;Once again, interchangeable parts.;2;The quality of code done in parts is usually better in quality because it has already been set out to be easier to maintain, modify, and understand.;1;Breaking down a problem has always been my preferred way to tackling a problem because it usually takes away the overwhelming feeling a difficult problem presents. ;1;Make a huge problem easier to solve and understand by breaking it down to smaller and easier problems;NA
23;1;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;1;NA;1;NA;NA
24;1;Yes, because we had to fully understand and make sure each previous part was working before we could move on. If we had done it our own way, we might've ran into problems/not prepared for those we were unaware of;1;With a big-bang implementation, it would be a very real possibility that the resulting code would be ugly, poorly designed, or confusing. With the stepwise implementation, it was hard to NOT make the code pretty or more understandable.;1;"Since many of the ""core"" pieces (the ReadEnd, Connector, etc) were setup for us already, it was much easier for us to use these parts in conjunction with our own steps to create gamma";1;If I were to attempt to explain the bigbang implementation, I would most likely get lost in the process or get hung up on the wrong details. With the stepwise implementation, I could imagine explaining it piece by piece, making sure they would understand each part before continuing;1;Since it's easier to understand the code (see above), then I would imagine it would be much easier to maintain or update the code, since we would know how it fits in the overall design of the program.;1;We would know where each new part would need to be placed to properly update the code! Not to mention it would be easier to test since everything is more modular, our new code should be more isolated from the other parts.;2;I like to imagine that I could do a big-bang implementation reasonably well, but stepwise was MUCH easier to understand and implement. Whereas this project took me about a week to complete while dealing with 2 other big projects, a big-bang approach would've been considerably more difficult and might have resulted in the coders wasting time on the small parts as opposed to the big picture.;1;See above, but stepwise allowed us to easily implement Gamma in a proper fashion, test it accurately, and prevented us from getting lost in the trees. I clearly understand Gamma now, and I feel that it represented well how to implement big programs stepwise;1;Much easier! Not only in coding, but in understanding as well. Had a great time coding it, and really enjoyed the final design. Even though I'm not a fan of testing (too lazy), doing it in such a modular and iterative fashion was easy and made me confident that bugs that popped up were because of the current step ONLY. Thanks!;Hm, I've said a lot already, but this was a great project and I had a lot of fun working on it. Although we still managed to get some trouble from a few parts, it was much less than we would have with a big-bang approach
25;1;Starting with a general idea of what Gamma does and then improving the design piece-by-piece helped a lot with see how each piece fits together;1;With a big-bang implementation, it's a lot easier to end up hacking and developing messy code that is harder to understand.;2;Easier because it's less likely that bugs would be introduced and missed, leading to many bugs that are hard to find and fix.;2;It's easier to explain each part of Gamma by showing the higher level view of each part first (ie, explaining HJoin with Bloom Filter by first explaining HJoin as a whole);1;It's easier to isolate bugs to a specific box, and adding a new implementation of a primitive would simply mean ripping out the old code and adding in the new code without having to touch any of the code outside of that box.;2;easier because with the pieces broken up the way they are, it's easier to just pull out and plug in changes to boxes or modify the way the boxes are used;1;It's a lot cleaner and you can see step-by-step what was done to build it;1;Forcing me to implement it in a step-wise fashion was helpful in the long run because there was less chance of us make huge mistakes that would take to long to debug.;1;I liked that we were forced to code as cleanly as possible, we didn't have nearly as many of the issues that tends to plague big projects like this that are done in big-bang fashion, like major bugs that are impossible to find and scrambling at the last second to figure out what was wrong with our code.;NA
